feature_file,model_type,time_lag,order,seasonal_order,AIC,train_MSE,test_MSE
TokyoElectron-abstract-featuredata.csv,SARIMAX,0,"(0, 2, 2)","(0, 0, 0, 0)",4092.2625374018853,459450386.3108908,4877115.857505567
TokyoElectron-abstract-featuredata.csv,SARIMAX,0,"(1, 0, 0)","(0, 0, 0, 0)",3412.965378394894,11674833.155945262,37139823.389422394
TokyoElectron-abstract-featuredata.csv,SARIMAX,0,"(1, 0, 1)","(0, 0, 0, 0)",3372.7965057461006,11877029.846990911,22847296.217497647
TokyoElectron-abstract-featuredata.csv,SARIMAX,0,"(1, 0, 2)","(0, 0, 0, 0)",3391.743507578856,12311824.775222594,17445648.03004355
TokyoElectron-abstract-featuredata.csv,SARIMAX,0,"(1, 1, 0)","(0, 0, 0, 0)",3284.199711645159,9331739.712141048,3212641.0249134996
TokyoElectron-abstract-featuredata.csv,SARIMAX,0,"(1, 1, 1)","(0, 0, 0, 0)",3284.2428228441945,9336063.777673261,3281256.241408944
TokyoElectron-abstract-featuredata.csv,SARIMAX,0,"(1, 1, 2)","(0, 0, 0, 0)",3284.0321025816993,9337391.435402175,3396513.050688273
TokyoElectron-abstract-featuredata.csv,SARIMAX,0,"(1, 2, 0)","(0, 0, 0, 0)",4088.5329714765794,448876683.6824823,81635341.47974983
TokyoElectron-abstract-featuredata.csv,SARIMAX,0,"(1, 2, 1)","(0, 0, 0, 0)",4091.1694345791575,456314966.9864648,14058290.514697336
TokyoElectron-abstract-featuredata.csv,SARIMAX,0,"(1, 2, 2)","(0, 0, 0, 0)",4091.786528054701,458148968.93365115,6064616.488267923
TokyoElectron-abstract-featuredata.csv,SARIMAX,0,"(2, 0, 0)","(0, 0, 0, 0)",3410.581991892941,11917514.858884163,18386905.6438482
TokyoElectron-abstract-featuredata.csv,SARIMAX,0,"(2, 0, 1)","(0, 0, 0, 0)",3397.194811674509,11914542.968627313,22805652.05894853
TokyoElectron-abstract-featuredata.csv,SARIMAX,0,"(2, 0, 2)","(0, 0, 0, 0)",3397.8213272483736,12165552.68094855,17963173.537022635
TokyoElectron-abstract-featuredata.csv,SARIMAX,0,"(2, 1, 0)","(0, 0, 0, 0)",3284.2341501273463,9335433.481748324,3279273.8290074654
TokyoElectron-abstract-featuredata.csv,SARIMAX,0,"(2, 1, 1)","(0, 0, 0, 0)",3284.139262649415,9323612.314606924,3390678.7475177683
TokyoElectron-abstract-featuredata.csv,SARIMAX,0,"(2, 1, 2)","(0, 0, 0, 0)",3284.1350121559817,9328436.050449543,3204544.3636428188
TokyoElectron-abstract-featuredata.csv,SARIMAX,0,"(2, 2, 0)","(0, 0, 0, 0)",4092.3082557346256,459540726.4174668,41957956.05776224
TokyoElectron-abstract-featuredata.csv,SARIMAX,0,"(2, 2, 1)","(0, 0, 0, 0)",4091.9411551223166,458443334.4977425,8029157.670864266
TokyoElectron-abstract-featuredata.csv,SARIMAX,0,"(2, 2, 2)","(0, 0, 0, 0)",4091.5524053498716,457497998.9952293,5423445.210708954
TokyoElectron-fullwabstract-featuredata.csv,SARIMAX,0,"(0, 0, 0)","(0, 0, 0, 0)",3252.223171169706,5783533.9580502035,30134985.722190578
TokyoElectron-fullwabstract-featuredata.csv,SARIMAX,0,"(0, 0, 1)","(0, 0, 0, 0)",3249.365642824102,5922718.179430298,28592041.498203594
TokyoElectron-fullwabstract-featuredata.csv,SARIMAX,0,"(0, 0, 2)","(0, 0, 0, 0)",3250.163947333703,6261815.309425087,28117911.15171755
TokyoElectron-fullwabstract-featuredata.csv,SARIMAX,0,"(0, 1, 0)","(0, 0, 0, 0)",3282.5416844092915,9249409.135817157,3320946.031023711
TokyoElectron-fullwabstract-featuredata.csv,SARIMAX,0,"(0, 1, 1)","(0, 0, 0, 0)",3283.6795201663335,9316883.928257074,3221486.981492909
TokyoElectron-fullwabstract-featuredata.csv,SARIMAX,0,"(0, 1, 2)","(0, 0, 0, 0)",3284.003206643408,9326334.649269426,3327182.8544254242
TokyoElectron-fullwabstract-featuredata.csv,SARIMAX,0,"(0, 2, 0)","(0, 0, 0, 0)",4064.9332159702244,387899553.8978642,80769016.40922853
TokyoElectron-fullwabstract-featuredata.csv,SARIMAX,0,"(0, 2, 1)","(0, 0, 0, 0)",4063.2416978846,383910149.76833063,6155753.470562805
TokyoElectron-fullwabstract-featuredata.csv,SARIMAX,0,"(0, 2, 2)","(0, 0, 0, 0)",4066.0213323322023,390566622.46366405,10950218.078265721
TokyoElectron-fullwabstract-featuredata.csv,SARIMAX,0,"(1, 0, 0)","(0, 0, 0, 0)",3279.875886993805,9161480.110831724,4702660.108860507
TokyoElectron-fullwabstract-featuredata.csv,SARIMAX,0,"(1, 0, 1)","(0, 0, 0, 0)",3286.7788831881903,9218613.807098651,7164112.761752612
TokyoElectron-fullwabstract-featuredata.csv,SARIMAX,0,"(1, 0, 2)","(0, 0, 0, 0)",3282.3052382237665,8889698.00958105,13901857.804129729
TokyoElectron-fullwabstract-featuredata.csv,SARIMAX,0,"(1, 1, 0)","(0, 0, 0, 0)",3284.1427822259984,9327857.469977131,3266836.673554723
TokyoElectron-fullwabstract-featuredata.csv,SARIMAX,0,"(1, 1, 1)","(0, 0, 0, 0)",3284.196026669906,9333016.887268001,3345693.4524152926
TokyoElectron-fullwabstract-featuredata.csv,SARIMAX,0,"(1, 1, 2)","(0, 0, 0, 0)",3283.891329067936,9334624.860385463,3396507.901747414
TokyoElectron-fullwabstract-featuredata.csv,SARIMAX,0,"(1, 2, 0)","(0, 0, 0, 0)",4062.1888845388057,381382197.6386648,92092396.77021126
TokyoElectron-fullwabstract-featuredata.csv,SARIMAX,0,"(1, 2, 1)","(0, 0, 0, 0)",4065.49744347581,389220010.11216164,5708708.848244064
TokyoElectron-fullwabstract-featuredata.csv,SARIMAX,0,"(1, 2, 2)","(0, 0, 0, 0)",4064.370179649273,386575365.18107826,5949709.451899369
TokyoElectron-fullwabstract-featuredata.csv,SARIMAX,0,"(2, 0, 0)","(0, 0, 0, 0)",3285.4828033575345,9084430.259086542,4550546.516466025
TokyoElectron-fullwabstract-featuredata.csv,SARIMAX,0,"(2, 0, 1)","(0, 0, 0, 0)",3287.465227740436,9153700.590117292,6507470.640150092
TokyoElectron-fullwabstract-featuredata.csv,SARIMAX,0,"(2, 0, 2)","(0, 0, 0, 0)",3281.653541190867,8548197.082080282,7570592.250277351
TokyoElectron-fullwabstract-featuredata.csv,SARIMAX,0,"(2, 1, 0)","(0, 0, 0, 0)",3284.1949762506856,9332388.897273514,3338496.008543593
TokyoElectron-fullwabstract-featuredata.csv,SARIMAX,0,"(2, 1, 1)","(0, 0, 0, 0)",3284.166972493781,9331975.233935183,3338850.749265475
TokyoElectron-fullwabstract-featuredata.csv,SARIMAX,0,"(2, 1, 2)","(0, 0, 0, 0)",3284.1138972133003,9331605.87842528,3319902.1684359447
TokyoElectron-fullwabstract-featuredata.csv,SARIMAX,0,"(2, 2, 0)","(0, 0, 0, 0)",4064.8384474438076,387608467.8925793,47844149.0507158
TokyoElectron-fullwabstract-featuredata.csv,SARIMAX,0,"(2, 2, 1)","(0, 0, 0, 0)",4065.4540886824566,389122314.82912755,10246930.747670623
TokyoElectron-fullwabstract-featuredata.csv,SARIMAX,0,"(2, 2, 2)","(0, 0, 0, 0)",4063.9846553715565,385586810.12733936,6492006.567406133
